QuestionText,CognitiveLevel,Category,Intent
أيهما أفضل الدراسة في السابق أم في الوقت الحالي؟,تقييم,التعليم,اختيار
أليس القطن عماد الثروة في مصر؟,معرفة,الاقتصاد والعمل,اختيار
أتصعد الشمس من الشرق؟,معرفة,التعليم,اختيار
أتعرف البكتيريا بأنها كائنات حية دقيقة؟,معرفة,التعليم,اختيار
أيتكون الهواء أساساً من النيتروجين؟,معرفة,التعليم,اختيار
أيفرز البنكرياس الأنسولين؟,معرفة,الصحة,اختيار
أيتكون الماء من الهيدروجين والأوكسجين؟,معرفة,التعليم,اختيار
أيوجد فيتامين سي في البرتقال؟,معرفة,الصحة,اختيار
أيتنفس السمك باستخدام الخياشيم؟,معرفة,التعليم,اختيار
أيمكن للنباتات أن تقوم بعملية البناء الضوئي؟,معرفة,التعليم,اختيار
أيتكون الذهب من عنصر واحد؟,معرفة,التعليم,اختيار
أيتكون الخشب من ألياف نباتية؟,معرفة,التعليم,اختيار
أيتغذى الأسد على اللحوم؟,معرفة,التعليم,اختيار
أيتكون الدم من خلايا حمراء وبيضاء؟,معرفة,الصحة,اختيار
أيتغذى النحل على رحيق الأزهار؟,معرفة,التعليم,اختيار
أيتكون اللبن من بروتينات ودهون؟,معرفة,التعليم,اختيار
أيمكن للحشرات أن تطير؟,معرفة,التعليم,اختيار
أيتغذى الدب القطبي على اللحوم؟,معرفة,التعليم,اختيار
أيتكون الزيت من دهون نباتية؟,معرفة,التعليم,اختيار
أيتكون السكر من جزيئات كربون وأوكسجين؟,معرفة,التعليم,اختيار
أيتكون الحجر الجيري من كربونات الكالسيوم؟,معرفة,التعليم,اختيار
أيتغذى الفيل على النباتات؟,معرفة,التعليم,اختيار
أيتكون الهواء من خليط من الغازات؟,معرفة,التعليم,اختيار
أيمكن للنمل أن يرفع أوزاناً تفوق وزنه؟,معرفة,التعليم,اختيار
أيتكون الزجاج من رمل السيليكا؟,معرفة,التعليم,اختيار
أيتطلب الحاسوب وجود تيار كهربائي؟,معرفة,التكنولوجيا,اختيار
أيمكن للطيور أن تعيش في الماء؟,معرفة,التعليم,اختيار
أيتغذى الحوت على الكائنات البحرية الصغيرة؟,معرفة,التعليم,اختيار
أيمكن للإنسان أن يعيش بدون قلب؟,معرفة,الصحة,اختيار
أيتغير لون أوراق الأشجار في الخريف؟,معرفة,التعليم,اختيار
أيمكن للضوء أن ينكسر عند مروره خلال الماء؟,معرفة,التعليم,اختيار
أيتكون الجليد عند درجات حرارة منخفضة؟,معرفة,التعليم,اختيار
أيتحكم الدماغ في جميع وظائف الجسم؟,معرفة,التعليم,اختيار
أيمكن للإنسان أن يسمع الأصوات من جميع الاتجاهات؟,معرفة,الصحة,اختيار
أيوجد الماء في حالات صلبة وسائلة وغازية؟,معرفة,التعليم,اختيار
أيمكن للإنسان أن يشعر بالحرارة والبرودة؟,معرفة,الصحة,اختيار
أيتكون الرمل من جزيئات صغيرة من الصخور؟,معرفة,التعليم,اختيار
أيتطلب النمو السليم للنباتات وجود ضوء الشمس؟,معرفة,التعليم,اختيار
أيمكن للإنسان أن يرى في الظلام؟,معرفة,التعليم,اختيار
أيمكن للإنسان أن يعيش على سطح القمر؟,معرفة,التعليم,اختيار
أيتكون الفحم من بقايا نباتية؟,معرفة,التعليم,اختيار
أيتغير لون السماء حسب الوقت من اليوم؟,معرفة,التعليم,اختيار
أيتحرك الهواء من مناطق الضغط العالي إلى المنخفض؟,معرفة,التعليم,اختيار
أيتطلب التنفس وجود الأوكسجين؟,معرفة,الصحة,اختيار
أيمكن للنباتات أن تنمو بدون ماء؟,معرفة,التعليم,اختيار
أيتغير لون البشرة بالتعرض للشمس؟,معرفة,الصحة,اختيار
أيتطلب التبخر وجود حرارة؟,معرفة,التعليم,اختيار
أيمكن للإنسان أن يعيش بدون نوم؟,معرفة,الصحة,اختيار
أيتغير لون السمك مع تغير البيئة؟,معرفة,التعليم,اختيار
أيتطلب النمو السليم للإنسان وجود غذاء متوازن؟,معرفة,الصحة,اختيار
أيتغير لون الثلج مع التلوث؟,معرفة,البيئة والطاقة,اختيار
أيمكن للإنسان أن يرى الأشياء بواسطة العيون؟,معرفة,الصحة,اختيار
هل سيدنا محمد (صلى الله عليه و سلم) هو أول المسلمين؟,معرفة,الدين,اختيار
هل يؤثم الحاكم الذي لا يحكم بما أنزل الله وشرّع؟,معرفة,الدين,اختيار
هل الماء يتجمد عند درجة حرارة صفر مئوية؟,معرفة,التعليم,اختيار
هل الشمس هي أقرب نجم إلى الأرض؟,معرفة,التعليم,اختيار
"هل نجيب محفوظ هو مؤلف رواية ""الأيام""؟",معرفة,الثقافة,اختيار
هل الزرافة هي أطول حيوان بري؟,معرفة,التعليم,اختيار
هل تعد اللغة الصينية من اللغات السامية؟,معرفة,الثقافة,اختيار
هل يُستخدم الذهب في صناعة الإلكترونيات؟,معرفة,التكنولوجيا,اختيار
هل تحتوي الخلية النباتية على جدار خلوي؟,معرفة,التعليم,اختيار
هل يمكن للحوت الأزرق أن يتنفس تحت الماء؟,معرفة,التعليم,اختيار
هل يمكن للبكتيريا أن تعيش في ظروف خالية من الأكسجين؟,معرفة,الصحة,اختيار
هل تُستخدم الخلايا الشمسية لتحويل الطاقة الشمسية إلى كهرباء؟,معرفة,التكنولوجيا,اختيار
هل تُعد الدلافين من الثدييات؟,معرفة,التعليم,اختيار
هل يمكن للإنسان أن يرى بالأشعة تحت الحمراء؟,معرفة,التعليم,اختيار
هل يُعتبر الفحم من الموارد المتجددة؟,معرفة,الاقتصاد والعمل,اختيار
هل نهر النيل هو أطول نهر في العالم؟,معرفة,التعليم,اختيار
هل يُستخدم الزئبق في موازين الحرارة التقليدية؟,معرفة,التكنولوجيا,اختيار
هل يُعتبر الزجاج موصل جيد للحرارة؟,معرفة,التعليم,اختيار
هل تعتبر الزهرة ثاني كوكب في النظام الشمسي؟,معرفة,التعليم,اختيار
هل يُستخدم الحديد في صناعة السيارات؟,معرفة,التكنولوجيا,اختيار
هل يُعتبر الزيتون من الفواكه؟,معرفة,الثقافة,اختيار
هل تُعد القهوة مشروباً يحتوي على الكافيين؟,معرفة,الثقافة,اختيار
هل يمكن للحيوانات البرمائية أن تعيش في الماء وعلى اليابسة؟,معرفة,التعليم,اختيار
هل تُستخدم الألياف البصرية لنقل البيانات؟,معرفة,التكنولوجيا,اختيار
هل يُعد الكتاب المقدس أقدم نص ديني معروف؟,معرفة,الدين,اختيار
هل تُعتبر الماس من الأحجار الكريمة؟,معرفة,الثقافة,اختيار
هل يُستخدم الفلين في صناعة الزجاجات؟,معرفة,التكنولوجيا,اختيار
هل تُعد الحيتان من الأسماك؟,معرفة,التعليم,اختيار
هل يمكن للنباتات أن تنمو بدون ضوء الشمس؟,معرفة,التعليم,اختيار
هل يُعتبر الذهب أثقل من الحديد؟,معرفة,التعليم,اختيار
هل تُستخدم الحواسيب في التنبؤ بحالة الطقس؟,معرفة,التكنولوجيا,اختيار
هل يُعد الزيت النباتي مصدراً للطاقة المتجددة؟,معرفة,التكنولوجيا,اختيار
هل تُعتبر النملة من الحشرات؟,معرفة,التعليم,اختيار
هل يمكن للإنسان أن يسمع الأصوات ذات التردد العالي جداً؟,معرفة,الصحة,اختيار
هل يُعد البحر الأحمر من الممرات البحرية الهامة؟,معرفة,الجغرافيا,اختيار
هل تُعتبر القارة الأفريقية الأكبر من حيث المساحة؟,معرفة,التعليم,اختيار
هل يُستخدم الصوديوم في صناعة الملح؟,معرفة,التكنولوجيا,اختيار
هل تُعد الأشجار مصدراً للأوكسجين؟,معرفة,البيئة والطاقة,اختيار
هل يمكن للأفاعي أن تسمع الأصوات؟,معرفة,التعليم,اختيار
هل يُعد الكمبيوتر من الأدوات الحديثة؟,معرفة,التكنولوجيا,اختيار
هل تُعتبر الدببة من الحيوانات اللاحمة؟,معرفة,التعليم,اختيار
هل يُستخدم السيليكون في صناعة الرقائق الإلكترونية؟,معرفة,التكنولوجيا,اختيار
هل تُعتبر النباتات مصدر غذاء رئيسي للحيوانات العاشبة؟,معرفة,البيئة والطاقة,اختيار
هل تُعد الألماس من المعادن؟,معرفة,التعليم,اختيار
